,Nationality,
Afghanistan,Afghan,Dari (Persian) - Pashto
Albania,Albanian,Albanian
Algeria,Algerian,Arabic
Argentina,Argentine,Spanish
,Argentinian,
Australia,Australian,English
Austria,Austrian,German
Bangladesh,Bangladeshi,Bengali
Belgium,Belgian,French / Flemish
Bolivia,Bolivian,Spanish
Botswana,Batswana,"English, Setswana"
Brazil,Brazilian,Portuguese
Bulgaria,Bulgarian,Bulgarian
Cambodia,Cambodian,Cambodian
Cameroon,Cameroonian,French / English
Canada,Canadian,English / French
Chile,Chilean,Spanish
China,Chinese,Chinese
Colombia *,Colombian,Spanish
Costa Rica,Costa Rican,Spanish
Croatia,Croatian,Croatian
Cuba,Cuban,Spanish
Czech Republic,Czech,Czech
Denmark,Danish,Danish
Dominican Republic,Dominican,Spanish
Ecuador,Ecuadorian,Spanish
Egypt,Egyptian,Arabic
El Salvador,Salvadorian,Spanish
England,English,English
,,
Estonia,Estonian,Estonian
Ethiopia,Ethiopian,Amharic
Fiji,Fijian,"English, Fijian"
Finland,Finnish,Finnish
France,French,French
,,
Germany,German,German
Ghana,Ghanaian,English
Greece,Greek,Greek
Guatemala,Guatemalan,Spanish
Haiti,Haitian,French / Creole
Honduras,Honduran,Spanish
Hungary,Hungarian,Hungarian
Iceland,Icelandic,Icelandic
India,Indian,Hindi / English
Indonesia,Indonesian,Indonesian
Iran,Iranian,Persian
Iraq,Iraqi,"Arabic, Kurdish"
Ireland,Irish,Irish / English
,,
Israel,Israeli,Hebrew
Italy,Italian,Italian
Jamaica,Jamaican,English
Japan,Japanese,Japanese
Jordan,Jordanian,Arabic
Kenya,Kenyan,Swahili
Kuwait,Kuwaiti,Arabiv
Laos,Lao,Laotian
Latvia,Latvian,Latvian
Lebanon,Lebanese,Arabic
Libya,Libyan,Arabic
Lithuania,Lithuanian,Lithuanian
Madagascar,Malagasy,Malagasy / French
Malaysia,Malaysian,Malay / Malaysian
Mali,Malian,French
Malta,Maltese,"English, Maltese"
Mexico,Mexican,Spanish
Mongolia,Mongolian,Mongolian
Morocco,Moroccan,Arabic / French
Mozambique,Mozambican,Portuguese
Namibia,Namibian,English
Nepal,Nepalese,"Nepali, English"
Netherlands,Dutch,Dutch
,,
New Zealand,New Zealand,English / Maori
Nicaragua,Nicaraguan,Spanish
Nigeria,Nigerian,English
Norway,Norwegian,Norwegian
Pakistan,Pakistani,"Urdu, English"
Panama,Panamanian,Spanish
Paraguay,Paraguayan,Spanish
Peru,Peruvian,Spanish
Philippines,Philippine,Tagalog / Filipino
Poland,Polish,Polish
Portugal,Portuguese,Portuguese
Romania,Romanian,Romanian
Russia,Russian,Russian
Saudi Arabia,Saudi,Arabic
Scotland,Scottish,English
Senegal,Senegalese,French
Serbia,Serbian,Serbian
Singapore,Singaporean,"English, Malay, Mandarin, Tamil"
Slovakia,Slovak,Slovak
South Africa,South African,"Afrikaans, English, + 9 more"
South Korea,Korean,Korean
Spain,Spanish,Spanish
Sri Lanka,Sri Lankan,"Sinhala, Tamil"
Sudan,Sudanese,"Arabic, English"
Sweden,Swedish,Swedish
Switzerland,Swiss,"German, French, Italian, Romansh"
Syria,Syrian,Arabic
Taiwan,Taiwanese,Chinese
Tajikistan,Tajikistani,Tajik (Persian)
Thailand,Thai,Thai
Tonga,Tongan,"English, Tongan"
Tunisia,Tunisian,Arabic
Turkey,Turkish,Turkish
Ukraine,Ukrainian,Ukrainian
United Arab Emirates,Emirati,Arabic
(The) United Kingdom,British,English
(The) United States,American **,English
Uruguay,Uruguayan,Spanish
Venezuela,Venezuelan,Spanish
Vietnam,Vietnamese,Vietnamese
Wales,Welsh,Welsh / English
,,
Zambia,Zambian,English
Zimbabwe,Zimbabwean,16 languages
